huisnummer,postcode,nrAanduiding,vblObject,inOnderzoek,gebruiksdoel,oppervlakte,vbloStatus
313,1431GB,358200000000619,358010018943853,False,overige gebruiksfunctie,4451,in gebruik (niet ingemeten)
2,7825GS,114200000402579,114010000402581,False,industriefunctie,600,in gebruik
121,1119RB,394200000005186,394010000302992,False,kantoorfunctie,1088,in gebruik
65,2991LJ,489200000219385,489010000219386,False,kantoorfunctie,250,in gebruik
8,7908MZ,118200000250005,118010000017816,False,woonfunctie,210,in gebruik
15,9411SB,1731200000003666,1731010000003487,False,industriefunctie,824,in gebruik
9,9418TN,1731200000013823,1731010000013824,False,woonfunctie,130,in gebruik
501,5464PA,860200000007088,860010000015145,False,woonfunctie,181,in gebruik
7,5993SL,1894200000340154,1894010000340153,False,onderwijsfunctie,2855,in gebruik
5,4751XK,1655200000541055,1655010000541056,False,industriefunctie,15081,in gebruik
14,9761TK,1730200000013413,1730010000004281,False,kantoorfunctie,840,in gebruik
5,7901TG,118200000245993,118010000078061,False,industriefunctie,5478,in gebruik
52,7963BZ,1690200000001273,1690010000001273,False,woonfunctie,196,in gebruik
1019,7905SB,118200000244580,118010090000732,False,industriefunctie,1140,in gebruik
2,7761RA,114200000355965,114010000355966,False,industriefunctie,239,in gebruik
20,7814XL,114200000368460,114010000368461,False,industriefunctie,114,in gebruik
25,7958RS,1690200000007240,1690010000007240,False,woonfunctie,278,in gebruik
12,7812HZ,114200000314503,114010000314504,False,industriefunctie,343,in gebruik
9,7761RB,114200000326943,114010000326944,False,industriefunctie,63,in gebruik
80,9403AD,106200000007888,106010000007888,False,industriefunctie,3074,in gebruik
10,9301ZJ,1699200000006188,1699010000015431,False,industriefunctie,104,in gebruik
4,7833JA,114200000299285,114010000299286,False,woonfunctie,429,in gebruik
16,7825AN,114200000326069,114010000326070,False,industriefunctie,120,in gebruik
6,7772TV,160200000252798,160010000044565,False,industriefunctie,5599,in gebruik
10,9403DT,106200000025913,106010000025913,False,kantoorfunctie,179,ingetrokken
6,2991XV,489200000264432,489010000264431,False,kantoorfunctie,168,in gebruik
5,7924PG,1690200000002370,1690010000002370,False,woonfunctie,423,in gebruik
70,2988DB,597200000237602,597010000237603,False,overige gebruiksfunctie,2690,in gebruik
20,8028PK,193200000013528,193010000013528,False,industriefunctie,26351,in gebruik
