huisnummer,postcode,nrAanduiding,vblObject,inOnderzoek
2,8448CN,0074200000373763,0074010000373764,False
81,5342LW,0828200001584686,0828010001584685,False
23,5145RK,0867200000044770,0867010000063813,False
6,5047RK,0855200000023969,0855010000101799,False
81,5804AP,0984200000021921,0984010000309930,False
1,3849BM,0243200001347965,0243010001347966,False
16,7141ZT,1586200000042871,1586010000036659,False
6,7332BB,0200200000027053,0200010000107758,False
12,3903KG,0345200002078089,0345010002078090,False
45,7131PE,1586200000049097,1586010000027338,False
24,6971BA,0213200000006233,0213010000005631,False
6,3016BD,0599200000404497,0599010000274789,False
18,7261AD,1859200000827346,1859010000827347,False
30,7122PW,0197200000498301,0197010000037165,False
2,7202CT,0301200000020699,0301010000020699,False
15,8932PA,0080200000411979,0080010000411980,False
8,7255AE,1876200000014591,1876010001014591,False
13,3846BX,0243200001337573,0243010001337574,False
100,5804AM,0984200000013315,0984010000316775,False
17,3861NJ,0267200000004825,0267010000000251,False
8,7383CB,0285200000102233,0285010000100829,False
37,6981AD,0221200000320548,0221010000320549,False
7,6961DP,0213200000009853,0213010000008892,False
98,7241VM,0262200000014622,0262010000014622,False
14,7151HD,1859200000842554,1859010000842555,False
29,7325WZ,0200200000077071,0200010000099130,False
29,7325WZ,0200200000077071,0200010000099130,False
33,2161LE,0553200000009005,0553010000004548,False
18,7211AR,0262200000001606,0262010000001606,False
2,9723JE,0014200010893344,0014010011083240,False
2,7231CP,0301200000006387,0301010000006387,False
8,3771MK,0203200000396400,0203010000396401,False
10,7572ZH,0173200000146546,0173010000146547,False
73,7631AB,1774200000276988,1774010000276989,False
20,3991VB,0321200000001388,0321010000001388,False
60,3882NJ,0273200000021503,0273010000021503,False
7,7604ER,0141200000047570,0141010000005680,False
2,7547RW,0153200000398166,0153010000398167,False
11,2391PZ,1672200000005037,1672010000004614,False
106,7547AL,0153200000366072,0153010000366073,False
23,7382AK,0285200000112917,0285010000111556,False
6,7091CS,0197200000040495,0197010000030699,False
8,7475NH,1735200000031418,1735010000019394,False
41,5571KB,1724200000001328,1724010000006968,False
2,7547RW,0153200000398166,0153010000398167,False
21,7547RT,0153200000449818,0153010000449819,False
2,7547RW,0153200000398166,0153010000398167,False
12,7384SN,0285200000100182,0285010000102477,False
266,3845LD,0243200001343193,0243010001343194,False
82,8256ES,0303200000619311,0303010000619312,False
454,7602KM,0141200000402207,0141010000205871,False
128,8701MC,1900200010085289,1900010010085290,False
51,7325WC,0200200000095492,0200010003918184,False
2,7547RW,0153200000398166,0153010000398167,False
119,7631BB,1774200000264126,1774010000264127,False
6,3628AC,0311200000000750,0311010000000750,False
22,3771VT,0203200000363464,0203010000363465,False
28,7576EM,0173200000172494,0173010000172495,False
1,7556BP,0164200000361090,0164010000022594,False
33,8162XS,0232200000006196,0232010000006196,False
7,6921EW,0226200000020430,0226010000020431,False
17,7577JC,0173200000154594,0173010000154595,False
12,3881SH,0273200000002991,0273010000002991,False
34,8097SG,0269200000006440,0269010000006440,False
21,8242PE,0995200000769724,0995010000769725,False
156,7604BP,0141200000406543,0141010000211047,False
100,7554NB,0164200000368810,0164010000015880,False
101,3066GS,0599200000179927,0599010000220630,False
1,7491EZ,1735200000023397,1735010000005905,False
12,7312EH,0200200000060981,0200010000227502,False
40,7609SJ,0141200000069998,0141010000012432,False
22,3846BN,0243200001342663,0243010001342664,False
15,7621AX,0147200000050254,0147010000000084,False
4,7604BL,0141200000046792,0141010000078260,False
766,2132NM,0394200001001172,0394010001001269,False
53,7547TE,0153200000394408,0153010000394409,False
8,7391TW,0285200000112277,0285010000110888,False
3,7251LH,1876200000013046,1876010001013046,False
37,8081HB,0230200000014175,0230010000014175,False
14,7671NE,1700200000032164,1700010000006675,False
46,7671RE,1700200000290898,1700010000041008,False
11,7335JP,0200200000054469,0200010000205892,False
52,5222BP,0796200001016073,0796010001016074,False
6,4043JD,1740200000105894,1740010000001462,False
75,7397NE,0285200000100422,0285010000108411,False
16,7611AG,0141200000071966,0141010000196164,False
16,3888MV,0200200000020483,0200010000060712,False
12,8162ET,0232200000007776,0232010000007776,False
313,1431GB,0358200000000619,0358010018943853,False
123,7471KV,1735200000031152,1735010000019129,False
14,8051KW,0244200000001116,0244010000001116,False
150,7544VV,0153200000352120,0153010000352121,False
99,7241MB,0262200000009461,0262010000009461,False
20,3774RA,0203200000380672,0203010000380673,False
8,7418BG,0150200000040411,0150010000046933,False
16,7335AA,0200200000077187,0200010000051798,False
3,7463PB,1742200000037116,1742010000001301,False
6,2033DA,0392200000096566,0392010000096550,False
101,7202CA,0301200000023681,0301010000023681,False
18,7547TB,0153200000387756,0153010000387757,False
64,3853TK,0233200000003358,0233010000003358,False
3,3785KX,0203200000448519,0203010000448518,False
23,7575AR,0173200000172604,0173010000172605,False
1,7772BL,0160200000260303,0160010000032247,False
2,7623CS,0147200000056076,0147010000112147,False
133,3771MA,0203200000369606,0203010000369607,False
18,6961PJ,0213200000004543,0213010000004118,False
37,7481RS,0158200000000205,0158010000000205,False
6,7631JC,1774200000277360,1774010000277361,False
26,8271RH,0166200000022557,0166010000022557,False
25,7421ET,0150200000032788,0150010000036675,False
9,8011RT,0193200000028230,0193010000028230,False
10,7521BE,0153200000420336,0153010000420337,False
18,7461JC,1742200000033459,1742010000008623,False
22,7554TX,0164200000323370,0164010000016730,False
9,3881LW,0273200000019754,0273010000019754,False
9,7597MD,1774200000280734,1774010000280735,False
1,7738PS,0175200000007436,0175010000007626,False
13,1135GG,0385200000013957,0385010000013946,False
9,7041GX,1955200000043144,1955010000040022,False
89,6827AL,0202200000334649,0202010000334650,False
5,7041KJ,1955200000042594,1955010000040009,False
22,5521DZ,0770200000009530,0770010000009468,False
53,5521DZ,0770200000006965,0770010000003771,False
74,6831AJ,0202200000296835,0202010000296836,False
3,6984AA,0221200000326899,0221010000326900,False
11,6673DP,1734200000057921,1734010000032073,False
2,6988BM,0299200000454548,0299010000454549,False
1,7041GE,1955200000058316,1955010000041796,False
7,3771NS,0203200001010119,0203010001010120,False
15,8255RN,0303200000613887,0303010000613888,False
19,6921RE,0226200000038550,0226010000038447,False
4,3771LN,0203200000449701,0203010000449700,False
65,6922JA,0226200000019403,0226010000019404,False
5,6909DZ,0299200000441044,0299010000441045,False
43,6921RE,0226200000024523,0226010000024524,False
11,3781EP,0203200000400225,0203010000400226,False
1,7031GG,0222200000669694,0222010000669695,False
78,6902PK,0299200000420415,0299010000420416,False
1,6931SG,0293200000010605,0293010000010598,False
109,3771MA,0203200000363396,0203010000363397,False
3,3959BE,1581200000108839,1581010000021632,False
135,2131AR,0394200000022480,0394010000287172,False
7,5986PM,1894200000327747,1894010000327748,False
33,3771MA,0203200000396352,0203010000396353,False
1,6921RB,0226200000019895,0226010000019896,False
23,7122ME,0197200000498521,0197010000498523,False
41,6666WS,1734200000021613,1734010000030415,False
2,1118LK,0394200001002147,0394010001002187,False
77,3087BM,0599200100008396,0599010400008131,False
10,7041GD,1955200000057472,1955010000040956,False
5,6984AA,0221200000326901,0221010000326902,False
7,7833HW,0114200000372450,0114010000372451,False
109,6843PP,0202200000338752,0202010000338753,False
18,6598BL,0907200000015013,0907010000015013,False
22,7031BG,0222200000632387,0222010000632388,False
2,3165AL,0613200000152723,0613010000152724,False
21,6901JV,0299200000421251,0299010000421252,False
78,1412JL,0425200000008480,0425010000007491,False
2,7122NR,0197200000037776,0197010000000433,False
21,6691CT,1705200000118334,1705010000025948,False
6,7047CA,1955200000052677,1955010000030809,False
19,7031HH,0222200000625637,0222010000625638,False
4,7041BM,1955200000055375,1955010000028090,False
64,6641AG,0209200000011675,0209010000011656,False
28,6923PE,0226200000035702,0226010000035703,False
12,6915VJ,0196200000347235,0196010000347236,False
47,7256AA,1876200000016629,1876010001016629,False
