vblObject,gebruiksdoel,oppervlakte,vbloStatus
202010000281530,kantoorfunctie,4085,ingetrokken
202010000284600,woonfunctie,96,in gebruik
202010000291230,woonfunctie,290,in gebruik
202010000296836,industriefunctie,465,in gebruik
202010000302949,woonfunctie,94,in gebruik
202010000311220,industriefunctie,10140,in gebruik
202010000316596,woonfunctie,138,in gebruik
202010000334650,woonfunctie,124,in gebruik
202010000338753,woonfunctie,127,in gebruik
202010000347527,woonfunctie,77,in gebruik
202010000351032,woonfunctie,118,in gebruik
202010000354027,woonfunctie,94,in gebruik
202010000361312,woonfunctie,107,in gebruik
202010000367473,sportfunctie,45713,in gebruik
202010000374154,woonfunctie,99,in gebruik
202010000378520,woonfunctie,139,in gebruik
202010000396740,woonfunctie,138,in gebruik
202010000397754,kantoorfunctie,86,in gebruik
202010000400456,winkelfunctie,513,in gebruik
202010000407028,kantoorfunctie,3256,in gebruik
202010000411669,woonfunctie,82,in gebruik
202010000417092,woonfunctie,69,in gebruik
202010000853364,kantoorfunctie,4097,in gebruik
203010000363397,industriefunctie,1597,in gebruik
203010000363465,woonfunctie,166,in gebruik
203010000369607,industriefunctie,6157,in gebruik
203010000380673,woonfunctie,103,in gebruik
203010000382185,woonfunctie,108,in gebruik
203010000384179,woonfunctie,204,in gebruik
203010000393361,industriefunctie,1065,in gebruik
203010000396353,industriefunctie,7360,in gebruik
203010000396401,industriefunctie,1896,in gebruik
203010000400226,woonfunctie,96,in gebruik
203010000406862,kantoorfunctie,82,in gebruik
203010000448518,industriefunctie,175,in gebruik
203010000449700,kantoorfunctie,4050,in gebruik
203010001001372,woonfunctie,60,in gebruik
203010001001656,woonfunctie,98,in gebruik
203010001010120,industriefunctie,21955,in gebruik
209010000000712,industriefunctie,700,ingetrokken
209010000000970,woonfunctie,246,in gebruik
209010000003976,industriefunctie,1028,in gebruik
209010000004332,woonfunctie,114,in gebruik
209010000009576,woonfunctie,148,in gebruik
209010000009742,woonfunctie,121,in gebruik
209010000010922,industriefunctie,12560,in gebruik
209010000011656,kantoorfunctie,160,in gebruik
213010000004118,woonfunctie,102,in gebruik
213010000005631,woonfunctie,249,in gebruik
213010000005901,kantoorfunctie,1504,in gebruik
213010000008892,woonfunctie,263,in gebruik
214010000000527,woonfunctie,405,in gebruik
214010000000637,woonfunctie,161,in gebruik
214010000000680,woonfunctie,233,in gebruik
214010000001312,woonfunctie,123,in gebruik
214010000001381,woonfunctie,179,in gebruik
214010000001481,woonfunctie,168,in gebruik
214010000002199,woonfunctie,103,in gebruik
214010000003822,woonfunctie,932,in gebruik
214010000003823,woonfunctie,271,in gebruik
214010000008951,logiesfunctie,40,in gebruik
214010000009757,winkelfunctie,104,in gebruik
214010000009843,industriefunctie,100,in gebruik
214010000012483,woonfunctie,208,in gebruik
214010000013335,kantoorfunctie,294,in gebruik
214010000013535,woonfunctie,144,in gebruik
216010000002439,kantoorfunctie,38122,in gebruik
216010000007527,woonfunctie,34,in gebruik
216010000011388,industriefunctie,4689,in gebruik
216010000011397,kantoorfunctie,64,in gebruik
216010000012206,industriefunctie,3034,in gebruik (niet ingemeten)
216010000012326,industriefunctie,3288,in gebruik
216010000015269,kantoorfunctie,363,in gebruik
221010000320549,woonfunctie,201,in gebruik
221010000326900,overige gebruiksfunctie,3180,in gebruik
221010000326902,overige gebruiksfunctie,1496,in gebruik
222010000621602,industriefunctie,1710,in gebruik
222010000625638,woonfunctie,127,in gebruik
222010000627452,kantoorfunctie,20,in gebruik
222010000629182,kantoorfunctie,194,in gebruik
222010000632388,woonfunctie,366,in gebruik
222010000649596,woonfunctie,218,in gebruik
222010000650680,industriefunctie,291,in gebruik
222010000661860,industriefunctie,1244,in gebruik
222010000664378,woonfunctie,128,in gebruik
222010000666206,woonfunctie,124,in gebruik
222010000669695,kantoorfunctie,11302,in gebruik (niet ingemeten)
226010000019404,woonfunctie,264,in gebruik
226010000019896,industriefunctie,23288,in gebruik
226010000020431,industriefunctie,1895,in gebruik
226010000021913,industriefunctie,6018,in gebruik
226010000021921,industriefunctie,8558,in gebruik
226010000022123,industriefunctie,946,in gebruik
226010000022773,woonfunctie,157,in gebruik
226010000024524,overige gebruiksfunctie,1180,in gebruik
226010000026345,woonfunctie,116,in gebruik
226010000026871,industriefunctie,12050,in gebruik
226010000034224,woonfunctie,119,in gebruik
226010000035703,industriefunctie,755,in gebruik
226010000037809,industriefunctie,179,in gebruik
226010000038036,kantoorfunctie,5153,in gebruik (niet ingemeten)
226010000038320,overige gebruiksfunctie,8,in gebruik (niet ingemeten)
226010000038447,kantoorfunctie,800,gevormd
226010000038786,industriefunctie,7408,in gebruik
228010000000697,woonfunctie,103,in gebruik
