Gemeente,CBS,Politie-eenheden
Overbetuwe,1734,Oost-Nederland
Papendrecht,0590,Rotterdam
Peel en Maas,1894,Limburg
Pekela,0765,Noord-Nederland
Pijnacker-Nootdorp,1926,Den Haag
Purmerend,0439,Noord-Holland
Putten,0273,Oost-Nederland
Raalte,0177,Oost-Nederland
Reimerswaal,0703,Zeeland - West-Brabant
Renkum,0274,Oost-Nederland
Renswoude,0339,Midden-Nederland
Reusel-De Mierden,1667,Oost-Brabant
Rheden,0275,Oost-Nederland
Rhenen,0340,Midden-Nederland
Ridderkerk,0597,Rotterdam
Rijssen-Holten,1742,Oost-Nederland
Rijswijk,0603,Den Haag
Roerdalen,1669,Limburg
Roermond,0957,Limburg
Roosendaal,1674,Zeeland - West-Brabant
Rotterdam,0599,Rotterdam
Rozendaal,0277,Oost-Nederland
Rucphen,0840,Zeeland - West-Brabant
Schagen,0441,Noord-Holland
Scherpenzeel,0279,Oost-Nederland
Schiedam,0606,Rotterdam
Schiermonnikoog,0088,Noord-Nederland
Schouwen-Duiveland,1676,Zeeland - West-Brabant
Simpelveld,0965,Limburg
Sint Anthonis,1702,Oost-Brabant
Sint-Michielsgestel,0845,Oost-Brabant
Sittard-Geleen,1883,Limburg
Sliedrecht,0610,Rotterdam
Sluis,1714,Zeeland - West-Brabant
Smallingerland,0090,Noord-Nederland
Soest,0342,Midden-Nederland
Someren,0847,Oost-Brabant
Son en Breugel,0848,Oost-Brabant
Stadskanaal,0037,Noord-Nederland
Staphorst,0180,Oost-Nederland
Stede Broec,0532,Noord-Holland
Steenbergen,0851,Zeeland - West-Brabant
Steenwijkerland,1708,Oost-Nederland
Stein,0971,Limburg
Stichtse Vecht,1904,Midden-Nederland
Súdwest Fryslân,1900,Noord-Nederland
Terneuzen,0715,Zeeland - West-Brabant
Terschelling,0093,Noord-Nederland
Texel,0448,Noord-Holland
Teylingen,1525,Den Haag
Tholen,0716,Zeeland - West-Brabant
Tiel,0281,Oost-Nederland
Tilburg,0855,Zeeland - West-Brabant
Tubbergen,0183,Oost-Nederland
Twenterand,1700,Oost-Nederland
Tynaarlo,1730,Noord-Nederland
Tytsjerksteradiel,0737,Noord-Nederland
Uden,0856,Oost-Brabant
Uitgeest,0450,Noord-Holland
Uithoorn,0451,Amsterdam
Urk,0184,Midden-Nederland
Utrecht,0344,Midden-Nederland
Utrechtse Heuvelrug,1581,Midden-Nederland
Vaals,0981,Limburg
Valkenburg aan de Geul,0994,Limburg
Valkenswaard,0858,Oost-Brabant
Veendam,0047,Noord-Nederland
Veenendaal,0345,Midden-Nederland
Veere,0717,Zeeland - West-Brabant
Veldhoven,0861,Oost-Brabant
Velsen,0453,Noord-Holland
Venlo,0983,Limburg
Venray,0984,Limburg
Vijfheerenlanden,1961,Midden-Nederland
Vlaardingen,0622,Rotterdam
Vlieland,0096,Noord-Nederland
Vlissingen,0718,Zeeland - West-Brabant
Voerendaal,0986,Limburg
Voorschoten,0626,Den Haag
Voorst,0285,Oost-Nederland
Vught,0865,Oost-Brabant
Waadhoeke,1949,Noord-Nederland
Waalre,0866,Oost-Brabant
Waalwijk,0867,Zeeland - West-Brabant
Waddinxveen,0627,Den Haag
Wageningen,0289,Oost-Nederland
Wassenaar,0629,Den Haag
Waterland,0852,Noord-Holland
Weert,0988,Limburg
Weesp,0457,Midden-Nederland
West Betuwe,1960,Oost-Nederland
West Maas en Waal,0668,Oost-Nederland
Westerkwartier,1969,Noord-Nederland
Westerveld,1701,Noord-Nederland
Westervoort,0293,Oost-Nederland
Westerwolde,1950,Noord-Nederland
Westland,1783,Den Haag
Weststellingwerf,0098,Noord-Nederland
Westvoorne,0614,Rotterdam
Wierden,0189,Oost-Nederland
Wijchen,0296,Oost-Nederland
Wijdemeren,1696,Midden-Nederland
Wijk bij Duurstede,0352,Midden-Nederland
Winterswijk,0294,Oost-Nederland
Woensdrecht,0873,Zeeland - West-Brabant
Woerden,0632,Midden-Nederland
Wormerland,0880,Noord-Holland
Woudenberg,0351,Midden-Nederland
Zaanstad,0479,Noord-Holland
Zaltbommel,0297,Oost-Nederland
Zandvoort,0473,Noord-Holland
Zeewolde,0050,Midden-Nederland
Zeist,0355,Midden-Nederland
Zevenaar,0299,Oost-Nederland
Zoetermeer,0637,Den Haag
Zoeterwoude,0638,Den Haag
Zuidplas,1892,Den Haag
Zundert,0879,Zeeland - West-Brabant
Zutphen,0301,Oost-Nederland
Zwartewaterland,1896,Oost-Nederland
Zwijndrecht,0642,Rotterdam
Zwolle,0193,Oost-Nederland
