,HUISNR,PC
809,1,5469ZG
810,3182,5902RD
811,10,5405BW
812,6,5253RL
813,6,5281PL
814,2,5595XH
815,244,5400AE
816,3,5156NL
817,611,5600AP
818,57,5657EA
819,6,5236WB
820,212,6881TP
821,208,5928RJ
822,611,5600AP
823,611,5600AP
824,3,5632CW
825,15,1431BA
826,22,5262SJ
827,75,5450AB
828,4,5076SN
829,49,5688EC
830,112,5705CL
831,47,5721TZ
832,12,5651GL
833,9,5151WD
834,16,5482TK
835,30,5341GM
836,7,5731CC
837,5,5527CA
838,2,5581HE
839,142,5060AC
840,69,5401HA
841,6,5831WE
842,87,3445VV
843,26,5070AA
844,2,5349BV
845,4,5236TJ
846,4,5691GL
847,49,5688EC
848,78,5151HN
849,5,5384SW
850,13,5402HW
851,5,5408SZ
852,8,5521DE
853,45,5251LZ
854,55,5464PN
855,17,5741GK
856,1,5652LA
857,13,5441PB
858,2,5441PB
859,25,5845ET
860,15,5735KM
861,13,5346WK
862,1715,5602BS
863,5,5091BG
864,2,5595XH
865,2,5215MX
866,11,9640AA
867,96,5750AB
868,14,5431NN
869,3,5632CW
870,2,5074PR
871,45,5712BA
872,21,5397GN
873,20,5754AE
874,5,5283PM
875,93,2627AT
876,50,4261BZ
877,59,3341LL
878,61,4286ZH
879,744,5400AS
880,43,5014LT
881,9,5386EV
882,27,5221GS
883,2,5657ES
884,9,1118LP
885,14,5644HP
886,3,5397HA
887,64,5374ZH
888,35,5651GK
889,2,5107RE
890,42,2410AA
891,36,5715PD
892,17,5215CS
893,14,4251GB
894,22,5076PZ
895,19,4264AT
896,113,5215AH
897,1,5151ST
898,30,5451NL
899,3,5343EV
900,45,5048AV
901,18,6026VH
902,199,5751KX
903,199,5751KX
904,19,5993SL
905,20,5482TG
906,26,5051DZ
907,8,5048AE
908,8,4825AZ
909,77,5126ZH
910,45,5015BT
911,30,1118LB
912,278,3190AG
913,8,5111HJ
914,542,5000AM
915,9,5062AG
916,39,5091DH
917,483,5011SL
918,45,5015BT
919,13,5062TE
920,117,5070AC
921,2,5087ZG
922,48,4631RM
923,51,4817BL
924,37,1101AH
925,6489,4836LH
926,28,5144NT
927,42,7961EA
928,501,5000AM
929,370,3990GD
930,29,1551ND
931,33,3194DA
932,19,4819AB
933,12,4251LR
934,14,5632AX
935,7,4921SH
936,39,4269VD
937,3,5145NP
938,4057,5004JB
939,11,5032MP
940,4,5032MK
941,13,5047SX
942,50,4250DB
943,11,4921JL
944,229,3315NM
945,7,4283JE
946,7,4283JE
947,1,4251LR
948,22,5080AA
949,2,4856AC
950,4121,5004JC
951,229,5140AE
952,43,4251NK
953,944,3160AC
954,19,4942VR
955,4,4251CR
956,18,4271XL
957,1,5048CD
958,11,4815NC
959,71,5120AB
960,9,6422PE
961,12,4251NL
962,45,5015BT
963,51,5021HK
964,3040,2980DA
965,23,5161CD
966,53,4926ED
967,142,4700AC
968,1,4941TA
969,58,4930AB
970,29,5104JA
971,10,5256ZG
972,21,8251JP
973,23,4251NK
974,1,4251LK
975,117,5145PB
976,14,4283JG
977,450,5140AL
978,13,4251NZ
979,457,5140AL
980,65,5170AB
981,16,5145NE
982,29,4284ZG
983,26,4251XB
984,13,5317JS
985,151,4261AH
986,10,5151LM
987,10,4941DZ
988,26,5156CW
989,4,4926EG
990,5,4286LN
991,5069,5004EB
992,12,6003DB
993,2104,5600CC
994,1,5143EE
995,46,5658GD
996,96,4890AB
997,41,4721AL
998,32,4671BG
999,5,4645ZG
1000,2,1118LK
1001,1086,4700BB
1002,1086,4700BB
1003,59063,3008PB
1004,2,4283JH
1005,14,4903PA
1006,6086,4780LX
1007,545,4838ED
1008,27,3045AX
1009,2,4706PL
1010,5,4903RJ
1011,166,1500ED
1012,37,4900AA
1013,27,5900AA
1014,1,4782SL
1015,281,4835NC
1016,3,4878AH
1017,39,4705RG
1018,6,4613BR
1019,4,4706PN
1020,4132,4900CC
1021,23,4706DP
1022,6,4824AH
1023,2,3286BT
1024,32,4611HX
1025,40,4707AG
1026,11,4612RC
1027,6,4703RB
1028,49,4782PM
1029,6063,4780LS
1030,28,4921PJ
1031,123,4790AC
1032,6802,4836LK
1033,19,4906CG
1034,43,2984AN
1035,1302,4700BH
1036,2,5087ZG
1037,32,4611HX
1038,80,4780AB
1039,14,4782PZ
1040,112,4890AC
1041,4,4661AP
1042,26,4825BP
1043,1086,4700BB
1044,45,4707AV
1045,12,4791EZ
1046,1419,4700BK
1047,72,4600AB
1048,24,4705AA
1049,2,4726SL
1050,8,4847EX
1051,6252,4836LG
1052,22,4715TC
1053,7,4703RE
1054,8,4772PD
1055,1507,4700BM
1056,18,3200AA
1057,3,4909BL
1058,432,5500AK
1059,41,4877LA
1060,6389,4836LE
1061,9,4782SM
1062,12,4631NH
1063,45,2180AA
1064,193,4872LA
1065,6,4782SK
1066,46,2964ZG
1067,15,3316BB
1068,6252,4836LG
1069,6,4703RE
1070,13,4631SR
1071,48,3344AL
1072,8,4651SZ
1073,102,4702LC
1074,618,4600AP
1075,13,4751VK
1076,342,4870AH
1077,28,4780AA
1078,6063,4780LS
1079,11,4611TS
1080,19,4751XC
1081,15,4703RG
1082,9,4822PP
1083,8,4641SH
1084,13,4817BL
1085,14,4903PA
1086,28,4782PM
1087,1,3115HG
1088,9,4731TV
1089,59174,3008PD
1090,57,4824BW
1091,5,4891DZ
1092,35,4761VH
1093,5102,4814RN
1094,200,1097JB
1095,70,4780AB
1096,151,3194DC
1097,4084,4900CB
1098,258,4871LA
1099,97,4707SH
1100,141,4880AC
1101,3,4906CJ
1102,60,4706PB
1103,37,4906CX
1104,48,4708AL
1105,719,4600AS
1106,34,4871DC
1107,71,5400AB
1108,6041,4836LA
1109,3,4611AP
1110,106,3087AJ
1111,19,4671JL
1112,1,4782SL
1113,2,4726SL
1114,15,5145NP
1115,6519,4836LD
1116,1302,4700BH
1117,10,4791BE
1118,6034,4900HA
1119,76,5015BM
1120,12,4791RM
1121,642,4870AP
1122,41,4854AG
1123,9,4661TW
1124,920,1013BD
1125,83,4651CC
1126,237,4900AE
1127,6578,4802HN
1128,6,4782SK
1129,3911,4800DX
1130,106,3087AJ
1131,32,4671BG
1132,5650,4801EB
1133,52,4871JG
1134,94,2984AB
1135,44,4705RR
1136,40,4611AL
1137,1086,4700BB
1138,1563,4700BN
1139,27,4706JX
1140,18001,4601ZA
1141,719,4600AS
1142,664,4900AR
1143,50,4724SG
1144,23,4645ZG
1145,285,3190AG
1146,5,4711ND
1147,20,4790AA
1148,6802,4836LK
1149,108,4902NS
1150,10,4813HK
1151,31,4330AA
1152,40,4341MN
1153,78,4871BP
1154,15,4782PP
1155,40,5062AE
1156,10,5111HH
1157,23,4904HV
1158,9760,4801LW
1159,36,4844AK
1160,8,6662DC
1161,9234,3007AE
1162,1,4782SB
1163,10,4907AD
1164,6086,4780LX
1165,3118,5902RC
1166,5062,5800GB
1167,6086,4780LX
1168,5,7041GD
1169,30,6199AN
1170,3,4551LA
1171,30,4612PS
1172,18,6199AB
1173,31,1047HD
1174,7,7041KK
1175,8,4844PK
1176,98,4708AM
1177,43,4400AA
1178,1594,4700BN
1179,15,2153PH
1180,27,4782PV
1181,18,4251NS
1182,70,4860AB
1183,368,5000AJ
1184,2,4871EB
1185,7,4338PG
1186,11,4761RG
1187,6045,4836LA
1188,26,4906CX
1189,95,3072AP
1190,46,4420AA
1191,51,4600AB
1192,63,4814TT
1193,6048,4780LA
1194,189,4530AD
1195,5,4530AA
1196,86,4550AB
1197,23,4538BV
1198,112,4511PA
1199,1,4550AA
1200,1,4551MC
1201,1082,4530GB
1202,6400,4802HK
1203,6400,4802HK
1204,14,4421PW
1205,14,4421PW
1206,24,4501BD
1207,18,4538AH
1208,17,4511AN
1209,16,4587RA
1210,14,4421PW
1211,0,
1212,14,4567BR
1213,102,4511GP
1214,44,4501PA
1215,6400,4802HK
1216,6400,4802HK
1217,1,4542PM
1218,1,4511HW
1219,6,4417ZG
1220,5,4530AA
1221,396,4380AJ
1222,7,4301CV
1223,908,3300AX
1224,93,4381EV
1225,39,4493ZG
1226,12,4401HZ
1227,12,4401HZ
1228,2,4424AA
1229,4,4384KL
1230,2,4455SZ
1231,12,4401HZ
1232,21,4387PL
1233,12,4704RK
1234,35,4389PC
1235,1,4542PM
1236,114,4530AC
1237,6400,4802HK
1238,6400,4802HK
1239,72,4530AB
