,HUISNR,PC
629,46,5912HR
630,4,6014CA
631,111,5916PA
632,30,6043RM
633,65,6101BS
634,18,6001SE
635,75,5911GG
636,16,6081CX
637,2,6067AA
638,49,5802CB
639,1,5928LL
640,8,6082BC
641,166,5913XH
642,21,6003DK
643,12,5912JL
644,2,6082BC
645,107,3088GC
646,4,6199AD
647,4,6049CV
648,17,6019AA
649,33,6104AA
650,37,6031AD
651,156,6006AC
652,10,6088PA
653,2,6082BC
654,2,6003DB
655,16,6006SM
656,62,3089KR
657,9,6121RE
658,2,6082BC
659,71,6014AD
660,10,6051CR
661,20,6002SM
662,120,6002SX
663,51,6031CS
664,33,6031CD
665,194,6181MA
666,12,6135KH
667,16,6333AP
668,12,6135KH
669,52,2987VE
670,37,6136AK
671,11,6121RE
672,31,6465AB
673,45,6181DN
674,27,6442PB
675,10,6121PA
676,12,6411GM
677,28,6412PJ
678,7,4131LX
679,20,6361XN
680,54,6105BN
681,31,6199AC
682,57,6191RD
683,191,6413AE
684,56,6413AG
685,2,6941ST
686,41,6466NH
687,128,6411HW
688,62,6343PC
689,13,6199AC
690,4,6411KS
691,2,6241EL
692,5,6291BC
693,70,6199AA
694,1,6461KB
695,6,6135JH
696,9,5991NP
697,11,5768PD
698,1,6132BA
699,24,6365ED
700,148,6181MA
701,16,6199AD
702,29,1118LA
703,1,2742RB
704,19,5928RX
705,9,6121RE
706,25,5928LA
707,2,6361GZ
708,2,6101XH
709,54,6051AV
710,51,6415GE
711,39,6433KC
712,90,6191EH
713,1,6235NS
714,12,5912JL
715,24,6162KN
716,20,6229EE
717,27,6598DK
718,6,6464HM
719,83,5916PJ
720,7,6061DB
721,410,6181MD
722,1,6229PP
723,74,6222NV
724,10,6301CK
725,10,6041XD
726,1,6247EM
727,13,1211EX
728,12,3257LH
729,6,5349BG
730,4,5704RL
731,65,1118LN
732,15,8028PS
733,111,3542AB
734,17,5347KR
735,19,5347KR
736,17,5347KR
737,19,5347KR
738,5,5347KZ
739,30,5222BP
740,4,5411DK
741,15,5975RX
742,1,5347JM
743,43,5386KT
744,24,5482TK
745,13,5427ES
746,24,3606AS
747,2,3521CA
748,12,3542AC
749,40,5651GH
750,2007,6604LH
751,2,5807GB
752,2,4751XN
753,7,6422PJ
754,149,5235EC
755,9,4261KC
756,9,5258LH
757,3,1185XV
758,39,5342LW
759,39,5342LW
760,17,5051AA
761,7,5469ER
762,15,6836GK
763,2,4143HM
764,50,2408AN
765,83,5411AT
766,5,5657EA
767,64,5527LC
768,100,5504RP
769,36,5715PD
770,2000,5657EX
771,102,1101CM
772,2500,5657DZ
773,12,5651GL
774,12,5721VW
775,313,1431GB
776,7,5555XN
777,75,5757BJ
778,11,6021PP
779,7102,5692HC
780,33,3165AM
781,4,5694NN
782,34,5401PE
783,12,5667KX
784,9,5627GA
785,83,5575AE
786,73,5554SX
787,53,5691BA
788,9,6026PX
789,11,5531AE
790,70,5421RV
791,12,5657EN
792,14,3994DK
793,49,5684PH
794,2,5145NW
795,16,5145NS
796,1,5145NC
797,9,5047TM
798,14,5662TM
799,28,5451GV
800,165,5575AG
801,603,5462GH
802,2204,6604LD
803,3,5626BK
804,31,5651GK
805,63,5625CA
806,9,5262LL
807,6,6026VL
808,52,5236BP
809,10,5469EM
810,9,5916PJ
811,10,5405BW
812,6,5253RL
813,6,5281PL
814,2,5595XH
815,12,5347KM
816,3,5156NL
817,6,5661NG
818,57,5657EA
819,6,5236WB
820,16,5709RZ
821,208,5928RJ
822,6,5661NG
823,60,1332EJ
824,3,5632CW
825,15,1431BA
826,22,5262SJ
827,28,5451GV
828,4,5076SN
829,49,5688EC
830,112,5705CL
831,47,5721TZ
832,12,5651GL
833,9,5151WD
834,16,5482TK
835,30,5341GM
836,7,5731CC
837,5,5527CA
838,2,5581HE
839,195,5654AN
840,69,5401HA
841,6,5831WE
842,87,3445VV
843,53,5071RC
844,2,5349BV
845,4,5236TJ
846,4,5691GL
847,49,5688EC
848,78,5151HN
849,5,5384SW
850,13,5402HW
851,5,5408SZ
852,8,5521DE
853,45,5251LZ
854,55,5464PN
855,17,5741GK
856,1,5652LA
857,13,5441PB
858,2,5441PB
859,25,5845ET
860,15,5735KM
861,13,5346WK
862,25,5611AZ
863,5,5091BG
864,2,5595XH
865,2,5215MX
866,17,9645LZ
867,5,5753RL
868,14,5431NN
869,3,5632CW
870,2,5074PR
871,45,5712BA
872,21,5397GN
873,20,5754AE
874,5,5283PM
875,93,2627AT
876,50,4261BZ
877,59,3341LL
878,1,4283JL
879,5,5411NE
880,43,5014LT
881,9,5386EV
882,27,5221GS
883,2,5657ES
884,9,1118LP
885,14,5644HP
886,3,5397HA
887,9,5374CE
888,35,5651GK
889,2,5107RE
890,18,2411XD
891,36,5715PD
892,17,5215CS
893,14,4251GB
894,22,5076PZ
895,19,4264AT
896,113,5215AH
897,1,5151ST
898,30,5451NL
899,3,5343EV
900,45,5048AV
901,18,6026VH
902,199,5751KX
903,199,5751KX
904,19,5993SL
905,20,5482TG
906,26,5051DZ
907,8,5048AE
908,8,4825AZ
909,14,5126PT
910,45,5015BT
911,30,1118LB
912,41,3194AA
913,8,5111HJ
914,45,5015BT
915,9,5062AG
916,39,5091DH
917,483,5011SL
918,45,5015BT
919,13,5062TE
920,17,5071NC
921,14,5087MA
922,48,4631RM
923,51,4817BL
924,37,1101AH
925,6489,4836LH
926,28,5144NT
927,42,7961EA
928,51,5015BP
929,14,3991CS
930,29,1551ND
931,33,3194DA
932,19,4819AB
933,12,4251LR
934,14,5632AX
935,7,4921SH
936,39,4269VD
937,3,5145NP
938,5,5032MA
939,11,5032MP
940,4,5032MK
941,13,5047SX
942,62,4251XD
943,11,4921JL
944,229,3315NM
945,7,4283JE
946,7,4283JE
947,1,4251LR
948,5,5081EE
949,2,4856AC
950,86,5049NL
951,10,5145RG
952,43,4251NK
953,5,3161WE
954,19,4942VR
955,4,4251CR
956,18,4271XL
957,1,5048CD
958,11,4815NC
959,14,5121DC
960,9,6422PE
961,12,4251NL
962,45,5015BT
963,51,5021HK
964,44,2987VE
965,23,5161CD
966,53,4926ED
967,40,4706PB
968,1,4941TA
969,9,4931NA
970,29,5104JA
971,14,5158NJ
972,21,8251JP
973,23,4251NK
974,1,4251LK
975,7,5145PD
976,14,4283JG
977,3,5145NP
978,13,4251NZ
979,9,5141EP
980,12,5171PL
981,16,5145NE
982,6,4283GZ
983,26,4251XB
984,13,5317JS
985,151,4261AH
986,10,5151LM
987,10,4941DZ
988,26,5156CW
989,4,4926EG
990,5,4286LN
991,5,5145NA
992,12,6003DB
993,30,5651GG
994,1,5143EE
995,46,5658GD
996,6027,4836LA
997,41,4721AL
998,32,4671BG
999,5,4645HN
1000,2,1118LK
1001,15,4705RT
1002,313,1431GB
1003,11,3165AA
1004,2,4283JH
1005,14,4903PA
1006,4,4761RL
1007,545,4838ED
1008,27,3045AX
1009,2,4706PL
1010,5,4903RJ
1011,46,1505HH
1012,2,4906AB
1013,10,5928NL
1014,1,4782SL
1015,281,4835NC
1016,3,4878AH
1017,39,4705RG
1018,6,4613BR
1019,4,4706PN
1020,1,4906CW
1021,23,4706DP
1022,6,4824AH
1023,2,3286BT
1024,32,4611HX
1025,40,4707AG
1026,11,4612RC
1027,6,4703RB
1028,49,4782PM
1029,28,4782PM
1030,28,4921PJ
1031,24,4782SJ
1032,6802,4836LK
1033,19,4906CG
1034,43,2984AN
1035,36,4703RE
1036,14,5087MA
1037,32,4611HX
1038,8,4782SG
1039,14,4782PZ
1040,59,4891XP
1041,4,4661AP
1042,26,4825BP
1043,15,4705RT
1044,45,4707AV
1045,12,4791EZ
1046,7,4703RE
1047,93,4612PL
1048,24,4705AA
1049,2,4726SL
1050,8,4847EX
1051,6252,4836LG
1052,22,4715TC
1053,7,4703RE
1054,8,4772PD
1055,7,4704RK
1056,7,3208LA
1057,3,4909BL
1058,4255,5503LM
1059,41,4877LA
1060,6389,4836LE
1061,9,4782SM
1062,12,4631NH
1063,3,2181HG
1064,193,4872LA
1065,6,4782SK
1066,2,2964AM
1067,15,3316BB
1068,6252,4836LG
1069,6,4703RE
1070,13,4631SR
1071,48,3344AL
1072,8,4651SZ
1073,102,4702LC
1074,5,4613BR
1075,13,4751VK
1076,33,4879NE
1077,4,4791RN
1078,28,4782PM
1079,11,4611TS
1080,19,4751XC
1081,15,4703RG
1082,9,4822PP
1083,8,4641SH
1084,13,4817BL
1085,14,4903PA
1086,28,4782PM
1087,1,3115HG
1088,9,4731TV
1089,84,3084CB
1090,57,4824BW
1091,5,4891DZ
1092,35,4761VH
1093,5102,4814RN
1094,200,1097JB
1095,6,4782SK
1096,151,3194DC
1097,19,4906CV
1098,258,4871LA
1099,97,4707SH
1100,1,4891BC
1101,3,4906CJ
1102,60,4706PB
1103,37,4906CX
1104,48,4708AL
1105,39,4611HC
1106,34,4871DC
1107,2,5404ND
1108,6041,4836LA
1109,3,4611AP
1110,106,3087AJ
1111,19,4671JL
1112,1,4782SL
1113,2,4726SL
1114,15,5145NP
1115,6519,4836LD
1116,36,4703RE
1117,10,4791BE
1118,2,4817ZR
1119,76,5015BM
1120,12,4791RM
1121,6452,4836LH
1122,41,4854AG
1123,9,4661TW
1124,920,1013BD
1125,83,4651CC
1126,1,4905BM
1127,5,4825AZ
1128,6,4782SK
1129,14,4815PJ
1130,106,3087AJ
1131,32,4671BG
1132,322,4834CP
1133,52,4871JG
1134,94,2984AB
1135,44,4705RR
1136,40,4611AL
1137,15,4705RT
1138,35,4704RG
1139,27,4706JX
1140,2,4612RC
1141,39,4611HC
1142,13,4905BK
1143,50,4724SG
1144,14,4645RB
1145,1,3161GM
1146,5,4711ND
1147,1,4791HS
1148,6802,4836LK
1149,108,4902NS
1150,10,4813HK
1151,2,4389PH
1152,40,4341MN
1153,78,4871BP
1154,15,4782PP
1155,40,5062AE
1156,10,5111HH
1157,23,4904HV
1158,10,4818AA
1159,36,4844AK
1160,8,6662DC
1161,3,2984BB
1162,1,4782SB
1163,10,4907AD
1164,4,4761RL
1165,50,5928SC
1166,1,5807EJ
1167,42,5928SC
1168,5,7041GD
1169,30,6199AN
1170,3,4551LA
1171,30,4612PS
1172,18,6199AB
1173,31,1047HD
1174,7,7041KK
1175,8,4844PK
1176,98,4708AM
1177,19,4401NC
1178,56,4703HA
1179,15,2153PH
1180,27,4782PV
1181,18,4251NS
1182,74,5145PW
1183,150,5026RH
1184,2,4871EB
1185,7,4338PG
1186,11,4761RG
1187,6045,4836LA
1188,26,4906CX
1189,95,3072AP
1190,26,4461XM
1191,11,4641SK
1192,63,4814TT
1193,4,4782SK
1194,1,4538AV
1195,8,4538BL
1196,4,4551LA
1197,23,4538BV
1198,112,4511PA
1199,1,4551BV
1200,2,4551MC
1201,1,4538AA
1202,17,4822NJ
1203,17,4822NJ
1204,14,4421PW
1205,14,4421PW
1206,24,4501BD
1207,18,4538AH
1208,17,4511AN
1209,16,4587RA
1210,14,4421PW
1211,4,4527PA
1212,14,4567BR
1213,102,4511GP
1214,44,4501PA
1215,17,4822NJ
1216,17,4822NJ
1217,1,4542PM
1218,1,4511HW
1219,8,4417ER
1220,12,4389PC
1221,15,4455RZ
1222,7,4301CV
1223,5,3315DA
1224,93,4381EV
1225,6,4493PK
1226,12,4401HZ
1227,12,4401HZ
1228,2,4424AA
1229,4,4384KL
1230,2,4455SZ
1231,12,4401HZ
1232,21,4387PL
1233,12,4704RK
1234,35,4389PC
1235,1,4542PM
1236,11,4542PS
1237,17,4822NJ
1238,17,4822NJ
1239,1,4538AA
1240,2,4612RC
1241,24,4501LA
1242,1,4542PM
1243,4,6942DJ
1244,10,4315CA
1245,499,4389PA
1246,33,4389PC
1247,33,4389PC
1248,2,4538BG
1249,3,4455SZ
1250,5,4511PA
1251,33,4389PC
1252,8,4538BL
1253,7,4461AP
1254,2,4455TM
1255,8,4538BL
1256,2,4389PJ
1257,10,5928NL
1258,497,4389PA
1259,70,3197KG
1260,2,4524BV
1261,1212,1081LA
1262,17,4822NJ
1263,21,4527BD
1264,88,1781AK
1265,12,4401CG
1266,9,4531EA
1267,23,5126PR
1268,4,4464JE
1269,102,3062ME
1270,434,2497TM
1271,2,4455TE
1272,7,4331NV
1273,12,4401HZ
1274,748,4382AC
1275,7,3016CJ
1276,1,4382NA
1277,21,3042CH
1278,22,2993LD
1279,6,4207HZ
1280,20,3244BH
1281,175,3316AS
1282,35,4781AH
1283,8,3356LE
1284,182,3331ML
1285,182,3331ML
1286,8,3286BW
1287,88,3261AL
1288,22,4175LS
1289,5,3299AL
1290,7,2995TP
1291,141,3362SC
1292,3,4131NT
1293,11,3316BD
1294,8,3267BD
1295,250,3316LC
1296,155,2957TD
1297,13,3361HJ
1298,100,3316AZ
1299,68,3079JW
1300,211,2952DC
1301,32,3356LX
1302,17,2953HC
1303,25,3355ER
1304,30,3355ES
1305,6520,4836LD
1306,110,4691TA
1307,3,3311DH
1308,120,3311PE
1309,79,3328EC
1310,160,3331MA
1311,79,3328EC
1312,86,3316GS
1313,50,3316LE
1314,77,3311TH
1315,13,3161HK
1316,428,3356XM
1317,1,4283HP
1318,24,2984AG
1319,131,3734EE
1320,150,3331MA
1321,8,4231VH
1322,53,3356LD
1323,4,2971VJ
1324,34,3016BC
1325,56,3241LR
1326,38,2954LD
1327,2,3316GN
1328,14,3297WB
1329,5,3316BR
1330,30,3311AW
1331,1,3295LJ
1332,16,5443PR
1333,65,5685GB
1334,10,3313ES
1335,19,3089JH
1336,30,3311AW
1337,211,2952DC
1338,466,3331LK
1339,61,4207CD
1340,16,2742MT
1341,288,3072MK
1342,9,4782SC
1343,189,3111AJ
1344,268,3331ML
1345,45,3315BP
1346,7,4131NJ
1347,2,3344EM
1348,27,3381KA
1349,167,3351HM
1350,15,4104AL
1351,2,1118LK
