kvknr,reg_date,emp_class
12030332,27-02-2008,06
12032202,28-06-1994,02
12032423,01-09-1994,02
12032578,14-10-1994,03
12032652,03-11-1994,06
12032718,23-11-1994,05
12033265,28-03-1995,02
12033756,26-04-1996,06
12033961,02-10-1995,01
12035920,23-01-2014,04
12037189,28-11-2013,01
12038130,01-07-1998,04
12038698,15-10-1998,01
12039238,26-02-1999,06
12040483,10-01-2000,06
12041678,30-05-2000,05
12042183,03-08-2000,05
12042772,24-10-2000,03
12043492,08-01-2001,05
12045058,15-06-2001,05
12045339,23-07-2001,02
12045519,16-10-2001,03
12046096,31-12-2001,04
12046326,01-12-2016,03
12047206,06-03-2002,02
12047717,14-05-2002,05
12049685,13-01-2003,01
12050233,13-03-2003,02
12051680,05-09-2003,02
12052431,16-12-2003,01
12052602,29-12-2003,03
12055617,08-11-2004,03
12058961,01-09-2005,03
12061422,24-03-2006,02
12061427,24-03-2006,02
12061485,29-03-2006,01
12063702,06-10-2006,04
12063796,16-10-2006,02
12063799,17-10-2006,03
12064565,27-12-2006,02
12067570,27-07-2007,06
12068322,02-10-2007,02
12068530,19-10-2007,02
13014674,18-01-1973,03
13024526,06-06-1985,04
13029679,17-07-1990,03
13033259,02-06-1993,06
13033928,16-11-1993,01
13035665,,
13035839,10-02-1995,01
13036850,03-10-1995,03
13037688,03-04-1996,03
13038359,17-09-1996,05
13038887,18-05-1999,04
13039667,21-07-1997,03
13039939,06-10-1997,05
13041277,20-08-1998,05
13041702,22-12-1998,01
13041728,24-12-1998,03
13041937,03-02-1999,02
13043466,27-01-2000,02
14026547,04-06-1973,02
14034287,05-04-1982,04
14035984,07-12-1983,03
14040302,20-11-1987,04
14054407,23-03-1998,03
14056288,10-10-1997,03
14058092,20-04-1998,01
14060251,15-12-1998,05
14061290,15-03-1999,04
14064346,12-01-2000,04
14067591,05-05-2008,05
14067868,11-12-2000,01
14068720,07-02-2001,05
14076633,18-10-2016,02
14076655,08-04-2003,03
14079381,17-08-2004,02
14079747,16-02-2004,03
14082384,25-09-2006,02
14085630,27-11-2019,02
14086220,31-08-2005,02
14087112,22-04-2010,02
14087508,30-12-2005,06
14088528,24-02-2006,03
14088755,15-03-2006,03
14089989,19-06-2006,02
14090480,01-08-2006,02
14091425,12-10-2006,02
14092542,02-01-2007,02
14096201,29-08-2007,06
14096516,19-09-2007,02
14097616,14-12-2007,02
14098904,16-01-2008,06
14098921,16-01-2008,02
14100678,14-03-2008,04
14102735,02-06-2008,02
14103148,13-06-2008,02
14103382,20-06-2008,04
14104412,29-07-2008,07
14104419,29-07-2008,02
14104589,07-08-2008,03
14106454,10-10-2008,02
14110560,03-02-2009,02
14110611,04-02-2009,03
14113430,01-04-2009,02
14114283,15-04-2009,04
14116397,25-05-2009,02
14116865,02-06-2009,05
14118489,03-07-2009,02
14119776,06-08-2009,02
14123140,02-11-2009,05
14123551,10-11-2009,01
14123604,11-11-2009,02
14124445,26-11-2009,02
14125913,23-12-2009,03
14131073,01-04-2010,05
14613631,16-08-1962,06
14624245,13-03-1990,03
14626359,06-06-1988,04
14628893,20-06-1991,01
14632153,11-08-1994,04
14632438,12-06-2017,06
14634729,22-05-2001,01
16023584,15-07-1964,05
16024021,18-01-2018,01
16040069,05-04-1994,01
16040093,23-10-1979,05
16050353,31-01-2011,12
16054146,"ull,""emplo",04
16057665,09-02-1989,10
16058918,17-08-1989,01
16063637,22-05-1991,03
16065883,14-02-1992,03
16066165,12-09-2002,11
16066557,04-05-1992,02
16066880,09-06-1992,02
16068503,21-12-1992,02
16068862,02-11-2001,01
16070323,08-06-1993,07
16070327,08-06-1993,06
16076220,01-12-1994,03
16079005,19-07-1995,03
16079876,08-11-2005,02
16081047,01-07-2014,05
16083408,13-03-2002,03
16085892,17-02-1997,05
17005136,"ull,""emplo",01
17049735,"ull,""emplo",07
17053205,23-08-1984,06
17058626,28-10-1986,01
17061150,17-12-1987,01
17062755,04-01-2017,06
17063972,09-01-1989,06
17066587,17-11-1989,05
17069900,16-11-1990,03
17070102,13-12-1990,02
17073973,03-01-1992,04
17075579,03-06-1992,06
17078290,23-06-2017,06
17080172,13-07-1993,04
17082364,10-10-2012,02
17083400,17-03-1994,03
17083663,01-04-1994,03
17087470,10-02-1995,03
17088180,04-04-1995,02
17088285,11-04-1995,02
17088373,20-04-1995,06
17090640,02-01-2007,02
17091008,28-11-1995,03
17092254,23-02-1996,03
17095669,,
17096475,15-01-1997,04
17101978,09-05-2000,09
17102858,12-03-1998,01
17104238,23-04-1998,03
17106206,07-07-1998,03
17108476,16-10-1998,08
17109893,21-12-1998,03
17112137,04-03-1999,04
17114017,17-01-2014,02
17114130,18-05-1999,02
17115180,25-06-1999,02
17118430,02-11-1999,04
17120225,06-01-2000,01
17121030,23-09-2008,05
17125955,04-07-2000,05
17126376,25-07-2000,02
17128641,17-10-2000,02
17129181,03-11-2000,04
17133333,06-03-2001,03
17133460,,
17135255,27-04-2001,04
17137527,10-05-2004,02
17137894,13-08-2001,01
17138542,07-09-2001,02
17142052,29-01-2014,04
17142198,21-01-2002,01
17143506,04-03-2002,02
17147210,23-08-2002,03
17147914,26-08-2002,01
17150389,03-12-2002,06
17151119,31-12-2002,03
17151657,08-01-2003,02
17153602,11-03-2003,03
17153901,21-03-2003,02
17154045,26-10-2007,06
17154545,31-03-2006,03
17154840,24-04-2003,03
17156130,12-06-2003,01
17156513,25-06-2003,02
17156628,26-04-2006,02
17159870,11-11-2003,02
17160255,27-11-2003,02
17163296,25-02-2004,02
17164408,30-03-2004,02
17165880,26-10-2018,02
17165908,21-05-2004,02
17167546,13-07-2004,03
17168830,01-09-2004,02
17170501,28-10-2004,02
17170873,,
17173500,19-01-2005,02
17175197,07-03-2005,01
17176139,01-04-2005,02
17176272,05-04-2005,03
17178050,30-05-2005,03
17178213,01-06-2005,02
17183779,24-11-2005,02
17185029,29-12-2005,02
17186651,27-01-2006,01
17189536,05-04-2006,02
17190033,19-04-2006,02
17191454,26-05-2006,02
17195617,13-09-2006,02
17197156,23-10-2006,02
17198265,20-11-2006,06
17198288,21-11-2006,03
17198766,04-01-2007,05
17199298,22-12-2006,01
17200093,28-05-2010,07
17200665,08-01-2007,06
17201715,29-01-2007,02
17202952,27-02-2007,02
17203766,15-03-2007,02
17205729,27-04-2007,03
17205791,02-05-2007,03
17206689,24-05-2007,01
17209740,31-07-2007,02
17213325,27-11-2018,03
17214274,20-11-2007,02
17215581,02-01-2015,02
17215878,24-12-2007,01
17216935,02-01-2008,03
17220155,11-02-2008,02
17221650,04-03-2008,02
17221761,05-03-2008,02
17224981,25-04-2008,03
17226208,22-05-2008,01
17226637,28-05-2008,02
17227144,03-06-2008,05
17227361,04-06-2008,03
17227569,06-06-2008,01
17228106,15-07-2009,03
17232302,04-09-2008,01
17233908,01-10-2008,02
17239558,06-01-2009,04
17241366,22-01-2009,02
17241455,22-01-2009,03
17243106,06-02-2009,03
17247779,03-04-2009,01
17253254,29-05-2009,01
17254353,09-06-2009,02
17255637,,
17260815,27-08-2009,02
17271078,18-12-2009,02
17271087,18-12-2009,01
17273731,24-02-2010,04
17278248,15-02-2010,01
17279437,25-02-2010,01
18001860,28-08-1924,03
18014730,06-10-1967,07
18014815,30-12-1967,09
18022017,05-11-2001,06
18022186,22-12-2007,09
18023716,04-12-1980,07
18031563,09-02-1989,01
18032571,12-01-1990,05
18032705,15-02-1990,01
18033410,01-10-1990,01
18035896,16-07-1992,03
18037767,02-09-1993,01
18038533,31-12-1993,01
18039481,21-09-2000,02
18040110,10-12-2002,06
18041577,08-03-2011,01
18042462,07-08-1995,03
18045826,05-09-2012,02
18049057,19-06-1997,07
18049365,23-12-1997,07
18050232,31-10-1997,01
18051930,13-03-2003,03
18052480,10-06-1998,06
18052996,03-09-2002,01
18055112,22-12-2007,01
18056505,08-04-2009,02
18057515,10-12-1999,04
18058631,02-03-2000,07
18065429,21-12-2001,03
18069664,22-12-2007,03
18069890,28-06-2005,02
18070016,14-03-2003,05
18070017,14-03-2003,01
18071339,31-07-2003,03
18072026,27-10-2003,02
18072264,22-12-2007,02
18072331,01-12-2003,04
18072786,07-01-2004,04
18074546,04-06-2004,04
18074661,04-05-2009,03
18079900,22-12-2007,02
18080268,11-10-2005,03
18081045,27-12-2005,02
18081642,23-01-2006,01
18082792,,
18085888,28-11-2006,03
18086713,14-07-2017,03
18087325,15-02-2007,01
18088913,30-05-2007,01
18090004,15-08-2007,02
18091092,28-06-2010,03
18109854,19-09-1960,03
18110412,22-12-2007,06
18112825,19-03-2010,07
18113508,22-12-2007,01
18114258,21-06-2010,08
18114310,"ull,""emplo",04
18115076,22-08-1974,01
18117003,08-08-2002,03
18117106,25-04-1978,02
18117661,23-02-1979,03
18120188,22-12-1982,01
18120964,10-01-1984,08
18121460,,
18122517,29-10-1985,04
18122538,06-11-1985,02
18123059,29-05-1986,06
18123404,31-10-1986,07
18124083,26-10-1987,04
18124192,16-09-1987,04
18124584,08-08-2007,02
18124955,08-07-1988,03
18126494,22-12-2007,02
18128819,03-01-1992,03
18130248,22-12-2007,02
18130377,16-02-1993,06
18131961,03-03-1994,01
18132490,13-07-1994,06
20016633,15-10-2003,02
20018156,02-04-2013,03
20021800,14-12-1960,04
20024066,02-10-1964,03
20024616,09-07-1965,02
20025595,19-01-1967,01
20031758,15-02-1974,09
20033123,15-06-2011,01
20033506,24-10-1975,08
20033874,19-02-1976,03
20036494,10-01-1978,09
20037984,26-01-1979,02
20039255,17-06-2011,04
20040337,11-08-1980,06
20042670,09-02-1982,07
20046978,09-01-2017,05
20047609,23-10-1984,01
20050146,13-01-1986,07
20050997,20-06-1986,03
