kvk_nummer,bedrijfsnaam
06077555,"L. Meijer, h.o.n. Lammert Meijer"
24262762,Ciparo B.V.
08068277,Heinhuis Recycling B.V.
06023611,"Knol's Oude Papier B.V., h.o.n. Knol Papier Recycling"
30068571,Bemmel Container Service B.V.
02053666,Kolstein Transport
05055227,Van Lenthe Dalfsen Grondverzet B.V.
28006827,Gebr. Van der Putten B.V.
16043654,Geurts Metaal en Transporten V.o.f.
23083230,Van Vliet c.s. Transport Sliedrecht B.V.
24484110,Gemeente Maassluis (Sektor S & M)
32014995,"R.G.C. Calis, h.o.n. G.N. Calis en Zonen"
18115429,Handels- en Transportbedrijf J. Zwart B.V.
11020055,"H.G. de Kock, h.o.n. Dekotrans"
35006620,Transportbedrijf R. Vels & Zoon B.V.
37048204,Transportbedrijf J. de Groot & Zn B.V.
20092742,Saver N.V.
28027416,Otte Lisse B.V.
11047851,Transportbedrijf J.G. Verweij
11053064,Ambu B.V.
06021983,'Hijma' Hammink's IJzer- en Metaalhandel B.V.
14018228,Joca Parts B.V.
30123419,Vliegasunie B.V.
11019553,Metaalhandel Gebr. Van Bruchem B.V.
14052210,"B.W.M. Kelleners, h.o.n. Ben Kelleners Services"
14046615,Internationaal Transportbedrijf en Kleiexploitatie H.J. Beaujean B.V.
04008276,Koers Transport B.V.
20086602,Jaspers Internationaal Transport
02020504,V.o.f. Tammenga en Zn.
70687900,Fa. Van Muijlwijk Transport
23059943,"P. de Jong, h.o.n. Transportbedrijf P. de Jong"
08011255,Wijnia Transportbedrijf B.V.
22041660,"J.R. van der Wekken, h.o.n.Transportbedrijf J.R. van der Wekken"
38002885,REKO Transport- en Containerbedrijf Raalte B.V.
72031859,MTS Uitslag Transport
16089094,"J.G. Huiskes, h.o.n. J.G. Huiskes Recycling"
01160183,Gemeente De Wolden
24082335,B.V. Metaalmaatschappij v/h Joh.K. van Helvert & Zn.
02049996,"E. Schreuder, h.o.n. Schreuder Internationale en Nationale Transporten"
02079926,"J. Groenhof, h.o.n. Groentrans"
08016150,Van Werven Afvalinzameling B.V.
20105677,Johan Transport
27070610,Handels- en Internationaal Transportbedrijf Van Rijswijk B.V.
16060328,"A.A. Bergers, h.o.n. Nol Bergers Transport"
14605917,Transportbedrijf Cerfontaine B.V.
09139114,YF International B.V.
08024135,Van Peperzeel B.V.
28032820,Kluthe Benelux B.V.
12054220,Oud Papiercentrale Wiermans B.V.
38019949,Gerrit Flierman Holding B.V.
33127635,D. Cornelissen & Zonen Transporten B.V.
16052832,Transportbedrijf Harrie van Erp Oss B.V.
30029903,Verhuizingen en Transporten M.J. van Brenen & Zns. B.V.
20071420,Goorden Wouw B.V.
29011273,A. Bunnik B.V.
29034309,Milieutec B.V.
20092722,"J.A.M. Lauwerijsse, h.o.n. Anja Lauwerijsse Transport"
